id,title,publication date
US-11685188-B2,Dual-state caster and method ,2023-06-27
US-6371228-B1,Stable powered tricycle with traction steering ,2002-04-16
US-7712558-B2,Rolltainer transporter ,2010-05-11
CN-106080688-A,A kind of handbarrow being conveniently steered ,2016-11-09
US-2011023268-A1,Multi-wheel caster ,2011-02-03
CN-201446943-U,Convenient support vehicle for two-wheeled or three-wheeled vehicles ,2010-05-05
JP-2606793-Y2,Wheels for casters ,2001-01-09
JP-H03112459-U,Patent JPH03112459U ,1991-11-18
CN-205971381-U,Handcart that conveniently turns to ,2017-02-22
CN-214296036-U,Dual-purpose folding carrier ,2021-09-28
JP-7286059-B1,Caster ,2023-06-05
US-2017056260-A1,Caster wheel arrangement ,2017-03-02
WO-2010091460-A9,Wheeled device with different operational modes ,2010-12-16
US-2005140105-A1,Jog stroller with steerable front wheel ,2005-06-30
CN-201566411-U,Shopping trolley elevator caster wheel ,2010-09-01
JP-2011156044-A,Front wheel caster for wheelchair and wheelchair ,2011-08-18
JP-2012071688-A,Non-magnetism and non-magnetization caster ,2012-04-12
US-7104554-B2,Devices and methods for servicing vehicles having tires ,2006-09-12
US-2011170992-A1,Transport Apparatus ,2011-07-14
JP-H0648103-A,Castor wheel ,1994-02-22
KR-101357874-B1,Wheel for caster ,2014-02-04
JP-H11227626-A,Four-wheel steering type intra-yard running trailer ,1999-08-24
JP-2002234306-A,Caster structure for handcart and handcart ,2002-08-20
US-7694990-B2,Anti-tip wheelchair ,2010-04-13
JP-3216920-U,Step caster ,2018-07-05
CN-217622975-U,"Novel bridge type universal caster structure, caster assembly and vehicle ",2022-10-21
JP-5474843-B2,Caster with brake ,2014-04-16
KR-20070092084-A,Caster skating wheel ,2007-09-12
US-8910951-B2,Caster wheel arrangements ,2014-12-16
JP-2008207748-A,Caster and article with caster ,2008-09-11
EP-2699214-B1,Steering control system and method for manual wheelchairs ,2016-02-03
CN-209833244-U,Central control wheel ,2019-12-24
CA-5691-A,Caster wheel ,1876-02-15
CN-216805659-U,Double-support with walking auxiliary device and two-wheel electric vehicle adopting double-support ,2022-06-24
US-8118120-B2,Power wheel chair ,2012-02-21
US-9861549-B2,Mobility assistance device ,2018-01-09
JP-7475383-B2,Modular Utility System ,2024-04-26
CA-3030351-C,Tracked agricultural implement having a caster wheel assembly ,2022-09-06
US-9187123-B2,Dual lane multi-axle transport vehicle ,2015-11-17
US-10293853-B2,Vehicle having independently driven and controlled right and left drive wheels ,2019-05-21
US-10571928-B2,Moving robot and control method thereof ,2020-02-25
US-2023301231-A1,Lawn mower with pivotal rocker arm assembly ,2023-09-28
US-10035376-B2,Durable quiet hubless caster technology ,2018-07-31
US-2024108522-A1,Drifting kart ,2024-04-04
US-12006149-B2,Storage and retrieval system ,2024-06-11
US-2018099180-A1,Retractable Caster in an Exercise Machine ,2018-04-12
US-9420740-B2,Riding lawn mower ,2016-08-23
US-8789662-B2,Wheeled carriage with brake lock system ,2014-07-29
US-11186469-B2,Caster wheel with constant force mechanism ,2021-11-30
US-9527347-B2,Caster wheel braking systems ,2016-12-27
US-11679044-B2,Mobility device ,2023-06-20
US-11020293-B2,Multi-function person handling equipment ,2021-06-01
CA-2906158-C,Bed systems and methods ,2021-05-04
US-9872804-B2,Powered wheelchair configurations and related methods of use ,2018-01-23
US-9661966-B2,Vacuum cleaner ,2017-05-30
US-2023139225-A1,Powered personal mobility vehicle with rotating wheels ,2023-05-04
US-10890913-B1,Differential drive robotic platform and assembly ,2021-01-12
US-11577794-B2,Apparatus and related method for coating an irregular surface ,2023-02-14
CN-108602588-B,Trolley ,2021-10-12
US-9271887-B2,Patient support apparatus having an auxiliary wheel ,2016-03-01
US-10514126-B2,Multi-function travel-friendly workstation with cooling and ventilation ,2019-12-24
US-11548577-B2,Crawler vehicle with automatic probe normalization ,2023-01-10
US-11498636-B2,Scooter with rear swivel wheel ,2022-11-15
US-10899342-B1,Stability control system ,2021-01-26
US-2023130257-A1,Powered wheeled board ,2023-04-27
US-8925943-B2,Wheelchair suspension ,2015-01-06
US-10703401-B2,Powered utility cart and compliant drive wheel therefor ,2020-07-07
US-D901283-S,Chair caster wheel ,2020-11-10
JP-7362379-B2,autonomous transport vehicle ,2023-10-17
US-10052247-B2,Wheelchair with four wheel independent suspension and modular seating ,2018-08-21
US-8720916-B2,Skateboard truck ,2014-05-13
US-10524629-B2,Modular Robot ,2020-01-07
CA-3142736-C,Robotic cleaner ,2024-01-23
US-11363933-B2,Cleaning system for autonomous robot ,2022-06-21
US-10207403-B1,Robotic platform and assembly ,2019-02-19
US-9946265-B2,Bot having high speed stability ,2018-04-17
US-9930824-B2,Self-propelled agricultural machine with dual driving modes ,2018-04-03
US-10799194-B2,Caster system for mobile apparatus ,2020-10-13
US-11406555-B2,Mobility assistance device ,2022-08-09
US-9317038-B2,Detecting robot stasis ,2016-04-19
US-8408598-B2,Anti-tip system for a power wheelchair ,2013-04-02
US-11234875-B2,Wheelchair suspension ,2022-02-01
US-11147726-B2,Person support apparatus system ,2021-10-19
CA-2967204-C,Wheel caster locking system for a housekeeping cart ,2023-12-19
US-9579242-B2,Electric mid-wheel drive wheelchair ,2017-02-28
US-11904979-B2,Scooter with rotational connection ,2024-02-20
JP-7416850-B2,mobility assistance device ,2024-01-17
