id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
KR-20210074784-A,Digital analog convergence simplified clock ,장준희,장준희,2019-12-12,2019-12-12,2021-06-22,,https://patents.google.com/patent/KR20210074784A/en,https://patentimages.storage.googleapis.com/c2/61/99/d7331534ae87cd/pat00001.png
US-9173052-B2,Bluetooth low energy watch with event indicators and activation ,ConnecteDevice Limited,"Peter Hauser, Henri-Nicolas Olivier",2012-05-08,2013-04-15,2015-10-27,2015-10-27,https://patents.google.com/patent/US9173052B2/en,https://patentimages.storage.googleapis.com/90/ce/ed/e1f8388e2cb4bb/US09173052-20151027-D00000.png
US-9946454-B2,Watch type mobile terminal ,Lg Electronics Inc.,"Kiyong Lee, Pilgoo KANG, Kangchul LIM, Jeongho KIM",2014-07-04,2015-04-24,2018-04-17,2018-04-17,https://patents.google.com/patent/US9946454B2/en,https://patentimages.storage.googleapis.com/2d/b8/06/493acc689c1115/US09946454-20180417-D00000.png
US-10571865-B2,Reverse battery protection device and operating method thereof ,Lg Electronics Inc.,"Hongjo Shim, Gukchan LIM, Youngho SOHN, Seonghyok Kim, Chohee KWON, Hyunwoo Kim",2014-10-08,2018-08-29,2020-02-25,2020-02-25,https://patents.google.com/patent/US10571865B2/en,https://patentimages.storage.googleapis.com/9c/fa/2d/48fd5a83d1d0de/US10571865-20200225-D00000.png
US-9568891-B2,Multi-media wireless watch ,"I.Am.Plus, Llc","William Adams, Chandrasekar Rathakrishnan, Jaren Chee Wei Goh",2013-08-15,2014-08-14,2017-02-14,2017-02-14,https://patents.google.com/patent/US9568891B2/en,https://patentimages.storage.googleapis.com/3e/73/a0/1d6fe2993a782a/US09568891-20170214-D00000.png
US-9552572-B2,Mobile terminal ,Sang Hyun Shin,Sang Hyun Shin,2014-12-08,2015-03-16,2017-01-24,2017-01-24,https://patents.google.com/patent/US9552572B2/en,https://patentimages.storage.googleapis.com/ec/cc/34/a5983f2b4fc17c/US09552572-20170124-D00000.png
KR-102524069-B1,Device and method for rearranging contents displayed on the screen ,삼성전자주식회사,"리 쉬, 펑위 리, 져 쟈오",2014-12-18,2015-12-14,2023-04-21,2023-04-21,https://patents.google.com/patent/KR102524069B1/en,https://patentimages.storage.googleapis.com/2c/3e/00/2ef20a70feecf5/112015122414880-pat00001.png
EP-3101882-B1,Display device and controlling method thereof ,LG Electronics Inc.,Kyungdong Choi,2015-06-03,2015-10-26,2019-12-04,2019-12-04,https://patents.google.com/patent/EP3101882B1/en,https://patentimages.storage.googleapis.com/c8/12/22/c63f5d6b5dbe86/imgf0001.png
US-9946229-B2,Smart watch and method for controlling the same ,Lg Electronics Inc.,"Hyorim Park, Doyoung Lee, Yongsin Kim",2013-05-07,2013-07-01,2018-04-17,2018-04-17,https://patents.google.com/patent/US9946229B2/en,https://patentimages.storage.googleapis.com/d3/f8/7c/dc665517d91c86/US09946229-20180417-D00000.png
US-D842741-S,Display panel of a digital watch showing time and date ,Tomtom International B.V.,"Marco Bakker, David Morgan",2015-09-03,2016-03-03,2019-03-12,2019-03-12,https://patents.google.com/patent/USD842741S1/en,https://patentimages.storage.googleapis.com/b9/53/33/d38bc059f58453/USD0842741-20190312-D00000.png
