id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-1580361-A1,Door lock ,Ching-Tien Lin,Ching-Tien Lin,2004-03-23,2004-03-23,2005-09-28,,https://patents.google.com/patent/EP1580361A1/en,https://patentimages.storage.googleapis.com/86/9f/42/67c0c92d102c34/00160001.png
US-4031725-A,Door lock ,Reid Floyd F,Floyd F. Reid,1975-08-11,1975-08-11,1977-06-28,1977-06-28,https://patents.google.com/patent/US4031725A/en,https://patentimages.storage.googleapis.com/25/b6/b6/b241f812d224ed/US4031725-drawings-page-2.png
US-3597946-A,Burglar foiling lock ,Irene Mikkelson,Irene Mikkelson,1970-01-08,1970-01-08,1971-08-10,1971-08-10,https://patents.google.com/patent/US3597946A/en,https://patentimages.storage.googleapis.com/5c/60/c1/762adda283a4ad/US3597946-drawings-page-2.png
US-2694309-A,Lock-out-proof doorknob lock and latch set ,Hollymade Hardware Mfg Company,Jr Robert C Cerf,1952-02-16,1952-02-16,1954-11-16,1954-11-16,https://patents.google.com/patent/US2694309A/en,https://patentimages.storage.googleapis.com/ce/80/0e/fa851239ed0f3b/US2694309-drawings-page-1.png
US-2006042333-A1,Doorknob ,Wen-Pin Wu,Wen-Pin Wu,2004-08-24,2004-08-24,2006-03-02,,https://patents.google.com/patent/US20060042333A1/en,https://patentimages.storage.googleapis.com/08/37/ab/10987123e52814/US20060042333A1-20060302-D00000.png
US-3859827-A,"Improvements in double action cylinder or circular locks, applicable to doors and similar objects ",Patentes Fac Sa,Francisco Estepa Garcia,1972-08-08,1973-08-08,1975-01-14,1975-01-14,https://patents.google.com/patent/US3859827A/en,https://patentimages.storage.googleapis.com/cb/3b/ca/016bbc9a65b1f2/US3859827-drawings-page-2.png
US-4285221-A,Retrofit doorknob lock apparatus ,Atchisson Maxwell G,Maxwell G. Atchisson,1979-06-18,1979-06-18,1981-08-25,1981-08-25,https://patents.google.com/patent/US4285221A/en,https://patentimages.storage.googleapis.com/be/ad/ae/949919808b5978/US4285221-drawings-page-2.png
US-3210972-A,Door handle cover ,Virginia R Johnson,Arthur R Johnson,1963-06-21,1963-06-21,1965-10-12,1965-10-12,https://patents.google.com/patent/US3210972A/en,https://patentimages.storage.googleapis.com/ee/d2/06/32f33b31c05802/US3210972-drawings-page-1.png
US-7770420-B2,Lockdown door bar ,Carr Ronald R,Ronald R. Carr,2007-10-17,2008-04-15,2010-08-10,2010-08-10,https://patents.google.com/patent/US7770420B2/en,https://patentimages.storage.googleapis.com/97/7c/82/dd9c9bf08929df/US07770420-20100810-D00000.png
US-7614669-B2,Interchangeable lock operable in fail safe or fail secure modes ,Security Door Controls,"Arthur Geringer, David Geringer, Richard Geringer",2004-03-10,2005-06-03,2009-11-10,2009-11-10,https://patents.google.com/patent/US7614669B2/en,https://patentimages.storage.googleapis.com/22/42/35/dd3e48e9322a2e/US07614669-20091110-D00000.png
